ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
TRX00001,2025-09-30,CUST419,Vinil de Blues Clássico,Música,210.0,4
TRX00002,2025-08-06,CUST083,Moletom BTS Tour,Vestuário,150.0,4
TRX00003,2025-09-14,CUST420,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00004,2025-08-28,CUST331,Panetone Trufado de Chocolate,Alimentos,85.9,2
TRX00005,2025-03-21,CUST204,Vinil de Blues Clássico,Música,210.0,2
TRX00006,2025-04-07,CUST204,Pelúcia Freddy Fazbear,Brinquedos,120.5,1
TRX00007,2025-06-14,CUST158,Álbum Sabrina Carpenter,Música,180.0,4
TRX00008,2025-08-20,CUST472,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00009,2025-10-20,CUST037,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00010,2025-04-23,CUST466,Vinil de Blues Clássico,Música,210.0,2
TRX00011,2025-05-02,CUST438,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00012,2025-01-11,CUST039,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00013,2025-07-20,CUST464,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00014,2025-03-24,CUST209,Vinil de Blues Clássico,Música,210.0,2
TRX00015,2025-05-04,CUST303,Moletom BTS Tour,Vestuário,150.0,2
TRX00016,2025-01-03,CUST032,Álbum Sabrina Carpenter,Música,180.0,3
TRX00017,2025-06-25,CUST349,Camiseta Rick and Morty,Vestuário,60.0,3
TRX00018,2025-08-10,CUST401,Vinil de Blues Clássico,Música,210.0,3
TRX00019,2025-02-21,CUST245,Box Anne with an E (DVD),Entretenimento,99.9,1
TRX00020,2025-01-13,CUST459,Vinil de Blues Clássico,Música,210.0,2
TRX00021,2025-03-09,CUST310,Álbum Sabrina Carpenter,Música,180.0,1
TRX00022,2025-04-08,CUST487,Moletom BTS Tour,Vestuário,150.0,3
TRX00023,2025-02-16,CUST480,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00024,2025-10-09,CUST440,Vinil de Blues Clássico,Música,210.0,1
TRX00025,2025-03-05,CUST396,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00026,2025-02-18,CUST496,Moletom BTS Tour,Vestuário,150.0,4
TRX00027,2025-05-30,CUST112,Mousepad Genshin Impact,Acessórios Gamer,45.0,2
TRX00028,2025-01-22,CUST309,Moletom BTS Tour,Vestuário,150.0,4
TRX00029,2025-05-29,CUST190,Livro Ordem Paranormal: Hextombe,Livros,75.0,1
TRX00030,2025-03-23,CUST001,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00031,2025-11-16,CUST126,Moletom BTS Tour,Vestuário,150.0,4
TRX00032,2025-04-03,CUST309,Pelúcia Freddy Fazbear,Brinquedos,120.5,2
TRX00033,2025-05-10,CUST284,Vinil de Blues Clássico,Música,210.0,3
TRX00034,2025-10-03,CUST417,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
TRX00035,2025-05-16,CUST167,Livro Ordem Paranormal: Hextombe,Livros,75.0,2
TRX00036,2025-03-27,CUST317,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00037,2025-06-14,CUST392,Vinil de Blues Clássico,Música,210.0,4
TRX00038,2026-01-01,CUST452,Álbum Sabrina Carpenter,Música,180.0,2
TRX00039,2025-05-03,CUST202,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00040,2025-05-27,CUST090,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00041,2025-04-16,CUST458,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00042,2025-08-21,CUST242,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00043,2025-03-03,CUST107,Panetone Trufado de Chocolate,Alimentos,85.9,3
TRX00044,2025-06-24,CUST305,Livro Ordem Paranormal: Hextombe,Livros,75.0,4
TRX00045,2025-10-28,CUST447,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00046,2025-03-27,CUST136,Mousepad Genshin Impact,Acessórios Gamer,45.0,3
TRX00047,2025-03-01,CUST404,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00048,2025-09-05,CUST147,Álbum Sabrina Carpenter,Música,180.0,2
TRX00049,2025-11-17,CUST248,Pelúcia Freddy Fazbear,Brinquedos,120.5,4
TRX00050,2025-06-06,CUST256,Vinil de Blues Clássico,Música,210.0,2
TRX00051,2025-09-17,CUST325,Camiseta Rick and Morty,Vestuário,60.0,4
TRX00052,2025-01-05,CUST482,Pelúcia Freddy Fazbear,Brinquedos,120.5,2
TRX00053,2025-02-08,CUST093,Mousepad Genshin Impact,Acessórios Gamer,45.0,1
TRX00054,2025-09-17,CUST251,Mousepad Genshin Impact,Acessórios Gamer,45.0,4
TRX00055,2025-03-22,CUST492,Livro Ordem Paranormal: Hextombe,Livros,75.0,3
TRX00056,2025-11-05,CUST016,Panetone Trufado de Chocolate,Alimentos,85.9,1
TRX00057,2025-02-05,CUST047,Box Anne with an E (DVD),Entretenimento,99.9,3
TRX00058,2025-01-07,CUST480,Panetone Trufado de Chocolate,Alimentos,85.9,4
TRX00059,2025-01-19,CUST498,Moletom BTS Tour,Vestuário,150.0,1
TRX00060,2025-07-31,CUST119,Álbum Sabrina Carpenter,Música,180.0,2
TRX00061,2025-04-13,CUST046,Pelúcia Freddy Fazbear,Brinquedos,120.5,3
